message,category
Olá,cumprimento
Qual é a data de hoje?,data
Obrigado!,agradecimento
Até logo!,despedida
Outra mensagem,outra categoria
Mais uma mensagem,mais uma categoria
Olá novamente,cumprimento
Como vai você?,cumprimento
Bom dia!,cumprimento
Boa tarde!,cumprimento
Boa noite!,cumprimento
Que horas são?,data
Me diz a data atual,data
Agradeço!,agradecimento
Muito obrigado!,agradecimento
Obrigada!,agradecimento
De nada!,agradecimento
Tchau!,despedida
Até mais tarde!,despedida
Até amanhã!,despedida
Nos vemos em breve!,despedida
Estou confuso,outra categoria
Não entendi,outra categoria
Preciso de ajuda,outra categoria
Qual é o seu nome?,outra categoria
Pode me ajudar?,outra categoria
Gostaria de fazer uma reserva,reserva
Quero fazer uma reserva,reserva
Como faço para reservar?,reserva
Qual é o número de telefone?,contato
Como entro em contato?,contato
Gostaria de um orçamento,orçamento
Pode me passar um orçamento?,orçamento
Quanto custa?,orçamento
Tenho uma reclamação,outra categoria
Não estou satisfeito,outra categoria
Preciso falar com o suporte,outra categoria
Qual é a capital do Brasil?,conhecimento
Você sabe a capital do Brasil?,conhecimento
Meu pedido está atrasado,outra categoria
Não recebi meu pedido,outra categoria
Estou insatisfeito com o serviço,outra categoria
Parabéns pelo excelente atendimento!,elogio
Você está fazendo um ótimo trabalho!,elogio
Não encontro a página que procuro,problema
A página está dando erro,problema
ola,cumprimento
burnout,saude